,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Description 2,Meta Description 2 Length,Meta Description 2 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
11,https://healthcare.utah.edu/cardiovascular/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,335,0,0.0,1,,10,8,0,0.21,0,0,0,0,0,0,,,,,,0.1,,http://healthcare.utah.edu/cardiovascular/,HTTP Redirect,,1.1,https://healthcare.utah.edu/cardiovascular/index.php,2022-01-31 15:39:24
12,https://healthcare.utah.edu/images/homebanners/gettyimages-1141330751.jpeg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,518350,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.482,,,,,1.1,https://healthcare.utah.edu/images/homebanners/gettyimages-1141330751.jpeg,2022-01-31 15:39:25
13,https://healthcare.utah.edu/bill/financial-assistance.php,text/html; charset=UTF-8,200,OK,Indexable,,"Financial Assistance, Hospitals and Clinics | University of Utah Health",71,613,"Bill payment services can complicated, but U of U Health hopes to make the process as easy as possible. If you have questions about your bill, need an estimate for medical services, want to check if your insurance is applicable, or require financial assistance then this is the site for you.",291,1777,,0,0,,0,Financial Assistance,20,,0,What If I Can't Pay My Bill?,28,Financial Assistance Applications,33,"index,follow",,,,,,,,,122612,743,4.94,1,,20,3,0,0.08,119,80,0,16,13,0,,,,,c3b166d189bcd6c355df53eba0f98d4d,0.436,,,,,1.1,https://healthcare.utah.edu/bill/financial-assistance.php,2022-01-31 15:39:25
14,https://healthcare.utah.edu/hospital/rights.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,355,0,0.0,1,,3857,3857,0,99.87,0,0,0,0,0,0,,,,,,0.402,,https://healthcare.utah.edu/patient-family-services/rights.php,HTTP Redirect,,1.1,https://healthcare.utah.edu/hospital/rights.php,2022-01-31 15:39:25
15,https://healthcare.utah.edu/locations/,text/html; charset=UTF-8,200,OK,Indexable,,Locations | University of Utah Health,37,320,"U of U Health provides a variety of health care services at our many locations. Services include urgent care, primary care, eye care, cancer treatment, pharmacy, and more. This helpful location tool can conveniently help you find a nearby facility to receive the care you need.",277,1702,,0,0,,0,Locations,9,,0,,0,,0,"index,follow",,,,,,,,,24445,14,6.105,1,,11518,3725,0,96.45,51,25,0,11,10,0,,,,,f3f6e4965fed392920a04a4e9b2adb0a,0.485,,,,,1.1,https://healthcare.utah.edu/locations/,2022-01-31 15:39:25
16,https://healthcare.utah.edu/fad/,text/html; charset=UTF-8,200,OK,Indexable,,Find A Doctor | University of Utah Health,41,356,"Health-care consumers considering a physician at U of U Health are able to make informed choices thanks to this online tool. Patient satisfaction scores and comments are calculated to create rankings based on more than 40,000 patient surveys. If you are interested in seeking health care services by a University of Utah physician, this tool is one of the first placed you should look.",385,2371,,0,0,,0,Find A Doctor,13,,0,Sharing Information to Help Patients Make Decisions,51,,0,"index,follow",,,,,,,,,25067,73,7.49,1,,4004,3707,0,95.99,55,27,0,11,10,0,,,,,6926eb10dd7046e92f700819e1fe1c25,0.097,,,,,1.1,https://healthcare.utah.edu/fad/,2022-01-31 15:39:26
17,https://healthcare.utah.edu/coronavirus/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,332,0,0.0,1,,11,11,0,0.28,0,0,0,0,0,0,,,,,,0.077,,http://healthcare.utah.edu/coronavirus/,HTTP Redirect,,1.1,https://healthcare.utah.edu/coronavirus/index.php,2022-01-31 15:39:26
18,https://healthcare.utah.edu/rebrand/img/logos/uhealth-logo.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,3444,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.53,"Mon, 31 Jan 2022 17:52:22 GMT",,,,1.1,https://healthcare.utah.edu/rebrand/img/logos/uhealth-logo.svg,2022-01-31 15:39:25
19,https://healthcare.utah.edu/calendar/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,329,0,0.0,1,,1,1,0,0.03,0,0,0,0,0,0,,,,,,0.077,,http://healthcare.utah.edu/calendar/,HTTP Redirect,,1.1,https://healthcare.utah.edu/calendar/index.php,2022-01-31 15:39:26
22,https://healthcare.utah.edu/locations/patient-family-housing/,text/html; charset=UTF-8,200,OK,Indexable,,Patient & Family Housing | University of Utah Health,52,459,"U of U Health serves Utah and surrounding states, so it’s no wonder that annually almost 50,000 patients travel more than 100 miles to see our world-class specialists. Our New Patient &amp; Family Housing provides convenient and affordable accommodation. You can expect top-notch amenities, affordable prices, and convenient public transportation options.",355,2203,,0,0,,0,Patient & Family Housing,24,Patient & Family Housing,24,Housing For Patients & Families at University of Utah Hospital,62,Patient And Family Housing Pictures,35,"index,follow",,,,,,,,,58786,369,6.342,1,,3715,3706,0,95.96,57,26,0,13,12,0,,,,,9718fcb658e179b190f35740a929b2c1,0.491,,,,,1.1,https://healthcare.utah.edu/locations/patient-family-housing/,2022-01-31 15:39:26
23,https://healthcare.utah.edu/locations/hospital/services/lodging.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,362,0,0.0,1,,100,100,0,2.59,0,0,0,0,0,0,,,,,,0.078,,https://healthcare.utah.edu/patient-family-services/where-to-stay.php,HTTP Redirect,,1.1,https://healthcare.utah.edu/locations/hospital/services/lodging.php,2022-01-31 15:39:27
24,https://healthcare.utah.edu/hospital/customer-service/interpreter.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,364,0,0.0,1,,7525,3724,0,96.43,0,0,0,0,0,0,,,,,,0.398,,https://healthcare.utah.edu/locations/hospital/services/interpreter.php,HTTP Redirect,,1.1,https://healthcare.utah.edu/hospital/customer-service/interpreter.php,2022-01-31 15:39:27
25,https://healthcare.utah.edu/locations/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,330,0,0.0,1,,2,2,0,0.05,0,0,0,0,0,0,,,,,,0.334,,http://healthcare.utah.edu/locations/,HTTP Redirect,,1.1,https://healthcare.utah.edu/locations/index.php,2022-01-31 15:39:27
26,https://healthcare.utah.edu/patient-family-services/patient-rights/surprise-medical-bills/,text/html; charset=UTF-8,200,OK,Indexable,,Your Rights and Protections Against Surprise Medical Bills | University of Utah Health,86,750,Surprise billing is an unexpected balance bill. This can happen when you can’t control who is involved in your care. Read this patient guide to rights and protections against surprise billing.,192,1153,,0,0,,0,Your Rights and Protections Against Surprise Medical Bills,58,,0,"What Is ""Balance Billing"" (Sometimes Called ""Surprise Billing"")?",64,Protection From Balance Billing,31,"index,follow",,,,,,,,,39997,687,14.911,1,,3735,3723,0,96.4,65,34,0,12,11,0,,,,,eace61e082dc204c2aa8c274a29d46dc,0.511,,,,,1.1,https://healthcare.utah.edu/patient-family-services/patient-rights/surprise-medical-bills/,2022-01-31 15:39:27
27,https://healthcare.utah.edu/images/homebanners/gettyimages-1073909084.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,457702,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.519,,,,,1.1,https://healthcare.utah.edu/images/homebanners/gettyimages-1073909084.jpg,2022-01-31 15:39:27
28,https://healthcare.utah.edu/webmaster.php,text/html; charset=UTF-8,200,OK,Indexable,,Webmaster | University of Utah Health,37,337,,0,0,,0,0,,0,Webmaster,9,,0,If you:,7,If you:,7,"index,follow",,,,,,,,,23205,214,9.916,1,,3731,3723,0,96.4,39,24,0,11,10,0,,,,,cfe78844b88aed5557ed89ff4126b45a,0.466,,,,,1.1,https://healthcare.utah.edu/webmaster.php,2022-01-31 15:39:27
29,https://healthcare.utah.edu/patient-family-services.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,345,0,0.0,1,,3803,3706,0,95.96,0,0,0,0,0,0,,,,,,0.08,,https://healthcare.utah.edu/patient-family-services/,HTTP Redirect,,1.1,https://healthcare.utah.edu/patient-family-services.php,2022-01-31 15:39:28
30,https://healthcare.utah.edu/coronavirus/safety.php,text/html; charset=UTF-8,200,OK,Indexable,,Patient Appointment Safety & Visitor Guidelines | University of Utah Health,75,653,,0,0,,0,0,,0,Patient Appointment Safety & Visitor Guidelines,47,,0,Putting Your Safety First,25,Patient Appointments at U of U Health Hospitals & Clinics,57,"index,follow",,,,,,,,,50281,1067,15.262,1,,24,9,0,0.23,70,32,0,14,12,0,,,,,84a6ed776fca11e9712b1697700a778f,0.095,,,,,1.1,https://healthcare.utah.edu/coronavirus/safety.php,2022-01-31 15:39:28
31,https://healthcare.utah.edu/policies/privacy.php,text/html; charset=UTF-8,200,OK,Indexable,,Privacy Statement | University of Utah Health,45,395,,0,0,,0,0,,0,Privacy Statement,17,,0,How Your Website Browsing Information Is Used,45,,0,"index,follow",,,,,,,,,33324,946,21.994,1,,3867,3857,0,99.87,56,28,0,16,14,0,,,,,552590a487a65fc18a15474be4f1ee13,0.096,,,,,1.1,https://healthcare.utah.edu/policies/privacy.php,2022-01-31 15:39:28
32,https://healthcare.utah.edu/bill/,text/html; charset=UTF-8,200,OK,Indexable,,"About Your Bill, University of Utah Hospitals and Clinics | University of Utah Health",85,725,"Bill payment services can complicated, but U of U Health hopes to make the process as easy as possible. If you have questions about your bill, need an estimate for medical services, want to check if your insurance is applicable, or require financial assistance then this is the site for you.",291,1777,,0,0,,0,About Your Bill,15,,0,COVID-19 Payment Plans & Financial Assistance,45,How to Pay Your Bill—Paperless Billing Now Available,52,"index,follow",,,,,,,,,130932,1629,8.637,1,,14990,3724,0,96.43,75,36,0,28,21,0,,,,,359d371e1b89475fd587ef5332586a16,0.43,,,,,1.1,https://healthcare.utah.edu/bill/,2022-01-31 15:39:28
33,https://healthcare.utah.edu/primarycare/urgent.php,text/html; charset=UTF-8,200,OK,Indexable,,Urgent Care | University of Utah Health,39,343,,0,0,,0,0,,0,Urgent Care,11,Urgent Care,11,Urgent Care in Utah,19,Virtual Urgent Care - Talk With A Provider At Home,50,"index,follow",,,,,,,,,47653,513,8.618,1,,3828,3705,0,95.93,61,39,0,11,10,0,,,,,4c3c06ea24f71f2c7bdb6447fffc2135,0.087,,,,,1.1,https://healthcare.utah.edu/primarycare/urgent.php,2022-01-31 15:39:28
34,https://healthcare.utah.edu/about/,text/html; charset=UTF-8,200,OK,Indexable,,About University of Utah Hospitals & Clinics | University of Utah Health,72,620,"U of U Health is the Mountain West’s only academic health care system. We provide patient care, medical research, and physician training. The system provides basic and highly specialized medical care for Utahns and residents of five surrounding states. Our mission is to provide Utah and beyond great individual and community health care.",338,2116,,0,0,,0,About University of Utah Hospitals & Clinics,44,About University of Utah Hospitals & Clinics,44,Taking Care of Utah,19,Our System,10,"index,follow",,,,,,,,,71161,968,11.801,1,,3732,3724,0,96.43,76,48,0,27,24,0,,,,,aa4542c5bdb7dacf2d7f840fc009ed7e,0.09,,,,,1.1,https://healthcare.utah.edu/about/,2022-01-31 15:39:28
35,https://healthcare.utah.edu/{{%20baseurl%20}}/index.html,text/html; charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,4,4,0,0.1,0,0,0,0,0,0,,,,,,0.099,,,,,1.1,https://healthcare.utah.edu/%7B%7B%20baseurl%20%7D%7D/index.html,2022-01-31 15:39:28
36,https://healthcare.utah.edu/healthfeed/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,331,0,0.0,1,,136,136,0,3.52,0,0,0,0,0,0,,,,,,0.332,,http://healthcare.utah.edu/healthfeed/,HTTP Redirect,,1.1,https://healthcare.utah.edu/healthfeed/index.php,2022-01-31 15:39:28
37,https://healthcare.utah.edu/locations/hospital/emergency-room.php,text/html; charset=UTF-8,200,OK,Indexable,,"Emergency Room (ER)—University of Utah Hospital, Salt Lake City | University of Utah Health",91,827,"ER open 24 hours, seven days a week. Most of our patients wait only fifteen minutes to see a physician. We offer kids' emergency care as well as adult.",151,947,,0,0,,0,Emergency Room (ER)—University of Utah Hospital,47,Emergency Room (ER)—University of Utah Hospital,47,"Open 24 Hours a Day, 7 Days a Week",34,COVID-19 Vaccine Information,28,"index,follow",,,,,,,,,80054,888,6.92,1,,64,46,0,1.19,72,35,0,12,11,0,,,,,de54dd2a0e0ca59d5b729b7f5619b62f,2.041,,,,,1.1,https://healthcare.utah.edu/locations/hospital/emergency-room.php,2022-01-31 15:39:26
38,https://healthcare.utah.edu/policies/discrimination.php,text/html; charset=UTF-8,200,OK,Indexable,,Non-Discrimination Policy | University of Utah Health,53,463,,0,0,,0,0,,0,Non-Discrimination Policy,25,,0,,0,,0,"index,follow",,,,,,,,,37053,1512,30.274,1,,3867,3857,0,99.87,56,28,0,13,12,0,,,,,da41e30bfcd6b178ee3d5b0dbe4f4a64,0.428,,,,,1.1,https://healthcare.utah.edu/policies/discrimination.php,2022-01-31 15:39:28
39,https://healthcare.utah.edu/medical-services/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,337,0,0.0,1,,6,3,0,0.08,0,0,0,0,0,0,,,,,,0.078,,http://healthcare.utah.edu/medical-services/,HTTP Redirect,,1.1,https://healthcare.utah.edu/medical-services/index.php,2022-01-31 15:39:29
41,https://healthcare.utah.edu/clinicaltrials/,text/html; charset=UTF-8,200,OK,Indexable,,Clinical Trials | University of Utah Health,43,355,"The U of U Health is the only academic medical center in the Mountain West, providing exceptional patient care alongside quality teaching and research in an effort to bring the latest medical advancements to the bedside. Clinical trials works with physicians and researchers to prevent, diagnose, and treat diseases. Use our useful search tool to learn more different trials and how to participate.",398,2436,,0,0,,0,Clinical Trials,15,Clinical Trials,15,Research. Innovation. Discovery,31,,0,"index,follow",,,https://healthcare.utah.edu/clinicaltrials/,,,,,,28284,129,7.977,1,,3814,3707,0,95.99,56,28,0,11,10,0,,,,,f7909ee0d57e9a3c8a6db1ff7528e09c,0.503,,,,,1.1,https://healthcare.utah.edu/clinicaltrials/,2022-01-31 15:39:28
42,https://healthcare.utah.edu/hospital/stay.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,357,0,0.0,1,,3802,3705,0,95.93,0,0,0,0,0,0,,,,,,0.082,,https://healthcare.utah.edu/locations/hospital/services/stay.php,HTTP Redirect,,1.1,https://healthcare.utah.edu/hospital/stay.php,2022-01-31 15:39:29
43,https://healthcare.utah.edu/womenshealth/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,333,0,0.0,1,,13,12,0,0.31,0,0,0,0,0,0,,,,,,0.464,,http://healthcare.utah.edu/womenshealth/,HTTP Redirect,,1.1,https://healthcare.utah.edu/womenshealth/index.php,2022-01-31 15:39:29
44,https://healthcare.utah.edu/images/homebanners/gettyimages-1051247498.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,428049,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.087,,,,,1.1,https://healthcare.utah.edu/images/homebanners/gettyimages-1051247498.jpg,2022-01-31 15:39:29
46,https://healthcare.utah.edu/rebrand/img/logos/uofu-logo.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,18323,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.418,"Thu, 27 Jun 2019 17:05:29 GMT",,,,1.1,https://healthcare.utah.edu/rebrand/img/logos/uofu-logo.svg,2022-01-31 15:39:29
47,https://healthcare.utah.edu/images/homebanners/gettyimages-1251510968.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,434694,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.411,,,,,1.1,https://healthcare.utah.edu/images/homebanners/gettyimages-1251510968.jpg,2022-01-31 15:39:29
48,https://healthcare.utah.edu/locations/parkway/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,338,0,0.0,2,,3,3,0,0.08,0,0,0,0,0,0,,,,,,0.327,,http://healthcare.utah.edu/locations/parkway/,HTTP Redirect,,1.1,https://healthcare.utah.edu/locations/parkway/index.php,2022-01-31 15:39:29
49,https://healthcare.utah.edu/bariatricsurgery/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,337,0,0.0,2,,4,3,0,0.08,0,0,0,0,0,0,,,,,,0.313,,http://healthcare.utah.edu/bariatricsurgery/,HTTP Redirect,,1.1,https://healthcare.utah.edu/bariatricsurgery/index.php,2022-01-31 15:39:29
50,https://healthcare.utah.edu/locations/orthopaedics/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,343,0,0.0,2,,12,10,0,0.26,0,0,0,0,0,0,,,,,,0.324,,http://healthcare.utah.edu/locations/orthopaedics/,HTTP Redirect,,1.1,https://healthcare.utah.edu/locations/orthopaedics/index.php,2022-01-31 15:39:29
51,https://healthcare.utah.edu/burncenter/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,331,0,0.0,2,,4,4,0,0.1,0,0,0,0,0,0,,,,,,0.323,,http://healthcare.utah.edu/burncenter/,HTTP Redirect,,1.1,https://healthcare.utah.edu/burncenter/index.php,2022-01-31 15:39:30
52,https://healthcare.utah.edu/patient-family-services/patient-rights/good-faith-estimate.php,text/html; charset=UTF-8,200,OK,Indexable,,Right to Receive a Good Faith Estimate | University of Utah Health,66,581,"Under the law, health care providers need to give patients who don’t have insurance or who are not using insurance an estimate of the bill for medical items and services. Learn more about this right and protections.",215,1324,,0,0,,0,Right to Receive a Good Faith Estimate,38,,0,Costs for Patients Who Don't Have Insurance,43,Questions,9,"index,follow",,,,,,,,,53087,519,8.81,2,,10,2,0,0.05,61,33,0,19,14,0,,,,,c631455fbf2a56cdb5d5002af4616186,0.542,,,,,1.1,https://healthcare.utah.edu/patient-family-services/patient-rights/good-faith-estimate.php,2022-01-31 15:39:29
53,https://healthcare.utah.edu/trauma/index.php,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,327,0,0.0,2,,2,2,0,0.05,0,0,0,0,0,0,,,,,,0.078,,http://healthcare.utah.edu/trauma/,HTTP Redirect,,1.1,https://healthcare.utah.edu/trauma/index.php,2022-01-31 15:39:30
54,https://healthcare.utah.edu/locations/south-jordan/urgent-care.php,text/html; charset=UTF-8,200,OK,Indexable,,"Urgent Care Near Me — South Jordan, Daybreak, Herriman, Utah | University of Utah Health",88,813,"Our South Jordan Health Center brings urgent care services closer to home. Our providers give our patients quality healthcare and treat non-life-threatening injuries and illnesses such as the flu, urinary tract infections, sprained ankles, and more. No need to schedule an appointment, walk in today.",300,1835,,0,0,,0,Urgent Care,11,Urgent Care,11,Urgent Care in South Jordan,27,What Is Urgent Care?,20,"index,follow",,,,,,,,,88408,628,4.092,2,,12,4,0,0.1,52,35,0,14,12,0,,,,,83ef314fa8448f37cd41cddbd4ad12e5,0.408,,,,,1.1,https://healthcare.utah.edu/locations/south-jordan/urgent-care.php,2022-01-31 15:39:30
