,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,Search 1: bridge clinic,URL Encoded Address,Crawl Timestamp
32,https://www.westernuhealth.com/wp-content/uploads/images/x-ray.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2387,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.488,"Wed, 10 Oct 2018 20:21:49 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/x-ray.png,2021-11-29 14:31:59
33,https://www.westernuhealth.com/wp-content/uploads/images/Patient-Exam-2016.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,92171,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.709,"Tue, 16 Oct 2018 16:39:33 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/Patient-Exam-2016.jpg,2021-11-29 14:31:59
34,https://www.westernuhealth.com/wp-content/uploads/images/medicine-1.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1623,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.298,"Wed, 10 Oct 2018 20:21:44 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/medicine-1.png,2021-11-29 14:31:59
36,https://www.westernuhealth.com/wp-content/plugins/gtranslate/flags/16/en-us.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,488,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.891,"Mon, 25 Oct 2021 18:16:23 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/plugins/gtranslate/flags/16/en-us.png,2021-11-29 14:31:59
37,https://www.westernuhealth.com/pomona/,text/html; charset=UTF-8,200,OK,Indexable,,WesternU Health | Pomona,24,241,,0,0,,0,Teaming up for your Health,26,Together for your health,24,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/pomona/,,,,,,94701,325,2.876,1,,66,15,0,31.25,50,14,0,12,11,0,,,,,86399eadb204dc280c8697d4601cacef,0.469,,,,,1.1,0,https://www.westernuhealth.com/pomona/,2021-11-29 14:31:59
50,https://www.westernuhealth.com/about-us/,text/html; charset=UTF-8,200,OK,Indexable,,About | WesternU Health,23,219,,0,0,,0,About,5,,0,OUR PROMISE TO YOU,18,,0,max-image-preview:large,,,https://www.westernuhealth.com/about-us/,,,,,,94288,820,6.067,1,,44,17,0,35.42,49,17,0,9,9,0,,,,,eb96eacd0a62ed03aebfa90a727f0f75,0.6,,,,,1.1,0,https://www.westernuhealth.com/about-us/,2021-11-29 14:32:01
51,https://www.westernuhealth.com/contact/,text/html; charset=UTF-8,200,OK,Indexable,,Contact Us | WesternU Health,28,266,,0,0,,0,Contact Us,10,Directions,10,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/contact/,,,,,,144822,451,2.217,1,,67,17,0,35.42,52,18,0,18,10,0,,,,,bd604d56c8415916d3ae86f88b0d08af,0.883,,,,,1.1,0,https://www.westernuhealth.com/contact/,2021-11-29 14:32:00
52,https://www.westernuhealth.com/services/pharmacy/,text/html; charset=UTF-8,200,OK,Indexable,,Pharmacy & Travel Health Care | WesternU Health,47,447,,0,0,,0,Pharmacy & Travel Health Care,29,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/pharmacy/,,,,,,79857,689,5.942,1,,53,17,0,35.42,59,20,0,10,9,0,,,,,b145872a74beef82467c299c20a3b7bb,1.058,,,,,1.1,0,https://www.westernuhealth.com/services/pharmacy/,2021-11-29 14:32:00
56,https://www.westernuhealth.com/services/dental/,text/html; charset=UTF-8,200,OK,Indexable,,Dental Care | WesternU Health,29,273,,0,0,,0,Dental Care,11,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/dental/,,,,,,81675,616,5.584,1,,53,17,0,35.42,61,23,0,11,11,0,,,,,9ca2cc075854c6f670d44f851967307d,0.725,,,,,1.1,0,https://www.westernuhealth.com/services/dental/,2021-11-29 14:32:01
63,https://www.westernuhealth.com/covid-19-vaccination/,text/html; charset=UTF-8,200,OK,Indexable,,COVID-19 Vaccination | WesternU Health,38,367,,0,0,,0,WesternU Health Vaccine Clinic,30,Vaccinations are FREE,21,Los Angeles County Community COVID-19,37,,0,max-image-preview:large,,,https://www.westernuhealth.com/covid-19-vaccination/,,,,,,83324,693,5.794,1,,11,2,0,4.17,49,18,0,16,15,0,,,,,da104ce0e7e7013ec9537984aaf8bda1,0.537,,,,,1.1,0,https://www.westernuhealth.com/covid-19-vaccination/,2021-11-29 14:32:02
64,https://www.westernuhealth.com/wp-content/uploads/2018/10/optometry.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1551,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.544,"Tue, 09 Oct 2018 20:27:09 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/10/optometry.png,2021-11-29 14:32:02
65,https://www.westernuhealth.com/los-angeles,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,1,,34,17,0,35.42,0,0,0,0,0,0,,,,,,1.127,,https://www.westernuhealth.com/los-angeles/,HTTP Redirect,,1.1,0,https://www.westernuhealth.com/los-angeles,2021-11-29 14:32:02
71,https://www.westernuhealth.com/wp-content/uploads/images/medicine-2.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1861,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.458,"Wed, 10 Oct 2018 20:21:45 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/medicine-2.png,2021-11-29 14:32:03
75,https://www.westernuhealth.com/services/clinical-trials/,text/html; charset=UTF-8,200,OK,Indexable,,Clinical Trials | WesternU Health,33,288,,0,0,,0,Clinical Trials,15,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/clinical-trials/,,,,,,85897,386,3.388,1,,11,2,0,4.17,56,24,0,9,9,0,,,,,bcbeeec032d2620ddc4053ce9a4baf2,0.525,,,,,1.1,0,https://www.westernuhealth.com/services/clinical-trials/,2021-11-29 14:32:04
76,https://www.westernuhealth.com/patients/find-a-provider/,text/html; charset=UTF-8,200,OK,Indexable,,Find a Provider | WesternU Health,33,303,,0,0,,0,Find a Provider,15,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/patients/find-a-provider/,,,,,,66477,99,1.776,1,,48,17,0,35.42,50,17,0,9,9,0,,,,,c87f0158eab0287bc9bf70c432a1e5e1,0.494,,,,,1.1,0,https://www.westernuhealth.com/patients/find-a-provider/,2021-11-29 14:32:04
81,https://www.westernuhealth.com/services/foot-ankle/,text/html; charset=UTF-8,200,OK,Indexable,,Foot & Ankle Care | WesternU Health,35,328,,0,0,,0,Foot & Ankle Care,17,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/foot-ankle/,,,,,,79359,646,5.768,1,,53,17,0,35.42,57,19,0,10,9,0,,,,,7641209542fd51ced0ab222c4fa7606b,0.707,,,,,1.1,0,https://www.westernuhealth.com/services/foot-ankle/,2021-11-29 14:32:04
84,https://www.westernuhealth.com/services/eye/,text/html; charset=UTF-8,200,OK,Indexable,,Eye Care | WesternU Health,26,250,,0,0,,0,Eye Care,8,,0,Virtual Try-On,14,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/eye/,,,,,,98751,1580,11.381,1,,62,17,0,35.42,70,23,0,12,12,0,,,,,5b98ca2ace2cdc70486140ae2e8f3236,0.772,,,,,1.1,0,https://www.westernuhealth.com/services/eye/,2021-11-29 14:32:04
88,https://www.westernuhealth.com/oliver-station/,text/html; charset=UTF-8,200,OK,Indexable,,WesternU Health | Oliver Station,32,287,,0,0,,0,Where Your Doctors Know You,27,,0,Come say hello and let’s get to know each other,47,Come say hello and let’s get to know each other,47,max-image-preview:large,,,https://www.westernuhealth.com/oliver-station/,,,,,,87810,445,3.747,1,,69,23,0,47.92,29,8,0,12,11,0,,,,,a623a967f2954e0fd4f236d86bf36e17,0.867,,,,,1.1,0,https://www.westernuhealth.com/oliver-station/,2021-11-29 14:32:05
89,https://www.westernuhealth.com/wp-content/uploads/images/icon-microscope.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1458,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.427,"Mon, 30 Sep 2019 17:15:25 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/icon-microscope.png,2021-11-29 14:32:05
90,https://www.westernuhealth.com/wp-content/uploads/2018/09/westernu-health.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,5913,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.296,"Fri, 21 Dec 2018 21:49:22 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/09/westernu-health.png,2021-11-29 14:32:06
91,https://www.westernuhealth.com/wp-content/uploads/2018/10/tooth.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2164,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.493,"Tue, 09 Oct 2018 20:27:07 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/10/tooth.png,2021-11-29 14:32:06
93,https://www.westernuhealth.com/wp-content/uploads/images/wu-hec-pomona.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,70978,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.28,"Thu, 28 Feb 2019 22:38:55 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/wu-hec-pomona.jpg,2021-11-29 14:32:06
98,https://www.westernuhealth.com/services/primary-medical/,text/html; charset=UTF-8,200,OK,Indexable,,Primary & Specialty Care | WesternU Health,42,389,,0,0,,0,Primary & Specialty Care,24,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/services/primary-medical/,,,,,,95512,1563,11.71,1,,59,17,0,35.42,63,19,0,10,9,0,,,,,cdbb8787c0e32d5f3f79a36ac2b236c,1.574,,,,,1.1,0,https://www.westernuhealth.com/services/primary-medical/,2021-11-29 14:32:06
102,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-endodontics.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,442146,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,1.492,"Thu, 07 Nov 2019 17:53:33 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-endodontics.pdf,2021-11-29 14:32:06
103,https://www.westernuhealth.com/wp-content/uploads/images/medicine-2-32x32.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,974,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.407,"Mon, 15 Oct 2018 18:19:54 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/medicine-2-32x32.png,2021-11-29 14:32:07
105,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-oral-surgery.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,671717,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,1.291,"Thu, 07 Nov 2019 17:46:37 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-oral-surgery.pdf,2021-11-29 14:32:07
111,https://www.westernuhealth.com/wp-content/uploads/pdfs/Patient-Registration-Packet-PCC-5-2017-Large-Font.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,229886,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,0.256,"Fri, 30 Nov 2018 19:01:19 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/Patient-Registration-Packet-PCC-5-2017-Large-Font.pdf,2021-11-29 14:32:08
112,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-fillable-sp.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,455003,0,0.0,2,,2,2,0,4.17,0,0,0,0,0,0,,,,,,0.27,"Wed, 20 May 2020 23:19:19 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/patient-registration-packet-pcc-eci-fillable-sp.pdf,2021-11-29 14:32:08
115,https://www.westernuhealth.com/pomona/patients/,text/html; charset=UTF-8,200,OK,Indexable,,Patients | WesternU Health | Pomona,35,329,,0,0,,0,Patients,8,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/pomona/patients/,,,,,,107138,908,5.556,2,,57,14,0,29.17,93,39,0,12,11,0,,,,,dff92d6f7fc1c026d8143f6b494fc82e,0.311,,,,,1.1,0,https://www.westernuhealth.com/pomona/patients/,2021-11-29 14:32:08
119,https://www.westernuhealth.com/wp-content/uploads/pdfs/westernu-health-eci-reg-spn-2019.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,351107,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.459,"Tue, 29 Oct 2019 21:56:13 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/westernu-health-eci-reg-spn-2019.pdf,2021-11-29 14:32:09
124,https://www.westernuhealth.com/wp-content/uploads/images/insurance-32x32.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1040,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.247,"Mon, 15 Oct 2018 18:19:54 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/insurance-32x32.png,2021-11-29 14:32:09
125,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/images/x-ray.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,2387,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.331,"Mon, 15 Oct 2018 18:40:23 GMT",,,,1.1,0,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/images/x-ray.png,2021-11-29 14:32:10
127,https://www.westernuhealth.com/wp-content/uploads/images/marker-wuh-rm.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1006,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.495,"Wed, 14 Nov 2018 00:20:40 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/marker-wuh-rm.png,2021-11-29 14:32:10
128,https://www.westernuhealth.com/los-angeles/providers/,text/html; charset=UTF-8,200,OK,Indexable,,Providers | WesternU Health Los Angeles,39,366,,0,0,,0,Providers,9,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/los-angeles/providers/,,,,,,74816,687,6.313,2,,25,7,0,14.58,36,16,0,10,9,0,,,,,c5219bea18a4ab598b103ba36b09db34,0.725,,,,,1.1,0,https://www.westernuhealth.com/los-angeles/providers/,2021-11-29 14:32:09
135,https://www.westernuhealth.com/wp-content/uploads/pdfs/notice-of-privacy-practices-fac-wide.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,149114,0,0.0,2,,1,1,0,2.08,0,0,0,0,0,0,,,,,,0.261,"Mon, 06 Apr 2020 16:17:17 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/notice-of-privacy-practices-fac-wide.pdf,2021-11-29 14:32:10
138,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-radiology.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,446691,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.485,"Thu, 07 Nov 2019 17:55:16 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral-radiology.pdf,2021-11-29 14:32:11
139,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/2018/10/optometry.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1551,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.508,"Mon, 15 Oct 2018 18:40:24 GMT",,,,1.1,0,https://www.westernuhealth.com/pomona/wp-content/uploads/sites/5/2018/10/optometry.png,2021-11-29 14:32:11
140,https://www.westernuhealth.com/wecaredental/services/,text/html; charset=UTF-8,200,OK,Indexable,,Services | We Care Dental,25,233,,0,0,,0,Services,8,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/wecaredental/services/,,,,,,69994,547,5.909,2,,18,4,0,8.33,22,6,0,14,13,0,,,,,95bbcf8855a2adb9ad59c5a4e010063e,0.588,,,,,1.1,0,https://www.westernuhealth.com/wecaredental/services/,2021-11-29 14:32:11
141,https://www.westernuhealth.com/wp-content/uploads/2018/10/thumbnail-2.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,29045,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.506,"Thu, 11 Oct 2018 22:08:28 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/2018/10/thumbnail-2.jpg,2021-11-29 14:32:11
142,https://www.westernuhealth.com/wp-content/uploads/images/suitcase.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1616,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.246,"Wed, 10 Oct 2018 20:24:15 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/suitcase.png,2021-11-29 14:32:11
144,https://www.westernuhealth.com/wecaredental/about/,text/html; charset=UTF-8,200,OK,Indexable,,About | We Care Dental,22,209,,0,0,,0,About,5,,0,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/wecaredental/about/,,,,,,80371,1013,8.663,2,,18,4,0,8.33,21,5,0,11,11,0,,,,,eea105b7e76b22b5710223e63b6eedb9,0.608,,,,,1.1,0,https://www.westernuhealth.com/wecaredental/about/,2021-11-29 14:32:11
147,https://www.westernuhealth.com/oliver-station/patients,text/html; charset=UTF-8,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,2,1,0,2.08,0,0,0,0,0,0,,,,,,0.614,,https://www.westernuhealth.com/oliver-station/patients/,HTTP Redirect,,1.1,0,https://www.westernuhealth.com/oliver-station/patients,2021-11-29 14:32:12
152,https://www.westernuhealth.com/wp-content/uploads/foot-ankle/Foot-Ankle-Care.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,101989,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.284,"Thu, 25 Jul 2019 20:05:34 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/foot-ankle/Foot-Ankle-Care.jpg,2021-11-29 14:32:13
154,https://www.westernuhealth.com/wp-content/uploads/pharmacy/Pharmacy.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,166919,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.523,"Thu, 25 Jul 2019 21:10:19 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pharmacy/Pharmacy.jpg,2021-11-29 14:32:13
156,https://www.westernuhealth.com/wp-content/uploads/images/icon_mask.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,725,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.491,"Tue, 23 Feb 2021 17:48:56 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/images/icon_mask.png,2021-11-29 14:32:13
157,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral_form.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,213704,0,0.0,2,,3,3,0,6.25,0,0,0,0,0,0,,,,,,0.491,"Sat, 10 Nov 2018 00:40:45 GMT",,,,1.1,0,https://www.westernuhealth.com/wp-content/uploads/pdfs/referral_form.pdf,2021-11-29 14:32:13
160,https://www.westernuhealth.com/los-angeles/contact/,text/html; charset=UTF-8,200,OK,Indexable,,Contact Us | WesternU Health Los Angeles,40,380,,0,0,,0,Contact Us,10,Directions,10,,0,,0,max-image-preview:large,,,https://www.westernuhealth.com/los-angeles/contact/,,,,,,82712,158,1.674,2,,37,7,0,14.58,28,8,0,12,9,0,,,,,2937d0f8b01026a07902c8496dbb4bb2,0.306,,,,,1.1,0,https://www.westernuhealth.com/los-angeles/contact/,2021-11-29 14:32:13
