,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,Meta Keywords 2,Meta Keywords 2 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
14,http://portal.uhnj.org/,text/html;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,1586,0,6.62,1,,458,457,0,85.74,0,0,0,0,0,0,,,,,f0d14bbc6beda6baa6f85c381e36f3b5,0.026,,,,,1.1,http://portal.uhnj.org/,2022-02-04 11:34:17
15,https://uhnj.org/about/awards/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Awards and Recognition | About the Hospital | University Hospital, Newark, NJ",77,686,,0,0,,0,,0,Awards and Recognition,22,,0,University Hospital has been consistently recognized for excellence and high-quality care.,90,,0,,,,,,,,,,35154,1118,25.105,1,,484,466,0,87.43,110,46,0,14,12,0,,,,,677c273800cd8d84565c6ffb0aec0959,0.085,"Tue, 01 Feb 2022 17:13:00 GMT",,,,1.1,https://uhnj.org/about/awards/index.htm,2022-02-04 11:34:17
16,https://uhnj.org/images/new-images/social/glass_door.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,3325,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.032,"Fri, 09 Apr 2021 06:42:55 GMT",,,,1.1,https://uhnj.org/images/new-images/social/glass_door.png,2022-02-04 11:34:17
17,https://uhnj.org/assets/images/slider-1.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,984621,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.836,"Fri, 09 Apr 2021 06:38:31 GMT",,,,1.1,https://uhnj.org/assets/images/slider-1.jpg,2022-02-04 11:34:17
20,https://uhnj.org/inclusion/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"University Hospital, Newark, NJ",31,278,,0,0,,0,,0,Diversity & Inclusion,21,,0,,0,,0,,,,,,,,,,18615,72,8.534,1,,1283,456,0,85.55,62,36,0,10,10,0,,,,,9d17ba98dc885ff7fb9721c23927b6bc,1.619,"Tue, 26 Oct 2021 13:23:34 GMT",,,,1.1,https://uhnj.org/inclusion/index.htm,2022-02-04 11:34:17
22,https://uhnj.org/info/physicians.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Patient info | University Hospital, Newark, NJ",46,393,,0,0,,0,,0,Information For Physicians,26,,0,,0,,0,,,,,,,,,,23497,234,11.352,1,,19,3,0,0.56,115,47,0,15,12,0,,,,,e3098e12260b77ae2e096fc1d3cc1b4e,1.817,"Tue, 01 Feb 2022 17:14:56 GMT",,,,1.1,https://uhnj.org/info/physicians.htm,2022-02-04 11:34:17
23,https://uhnj.org/assets/images/Virtual_visit.png,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,256,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.024,,https://uhnj.org/assets/images/virtual_visit.png,HTTP Redirect,,1.1,https://uhnj.org/assets/images/Virtual_visit.png,2022-02-04 11:34:19
24,https://uhnj.org/about/history.htm,text/html; charset=UTF-8,200,OK,Indexable,,"About the Hospital | University Hospital, Newark, NJ",52,455,,0,0,,0,,0,About University Hospital,25,,0,University Hospital History,27,,0,,,,,,,,,,29802,767,20.231,1,,484,466,0,87.43,110,46,0,14,12,0,,,,,2795655323f90cdb239bac278c655711,0.025,"Tue, 01 Feb 2022 17:13:03 GMT",,,,1.1,https://uhnj.org/about/history.htm,2022-02-04 11:34:19
25,https://uhnj.org/info/patients.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Patient info | University Hospital, Newark, NJ",46,393,,0,0,,0,,0,Information For Patients,24,,0,,0,,0,,,,,,,,,,24261,255,11.592,1,,19,3,0,0.56,121,51,0,15,12,0,,,,,4a01c73a68fc6eff35ff1ee4548ba9bf,0.023,"Tue, 01 Feb 2022 17:14:56 GMT",,,,1.1,https://uhnj.org/info/patients.htm,2022-02-04 11:34:19
26,https://uhnj.org/visitation/Visitation_yellow.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,9449,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.936,"Thu, 12 Aug 2021 18:18:54 GMT",,,,1.1,https://uhnj.org/visitation/Visitation_yellow.png,2022-02-04 11:34:19
28,https://uhnj.org/visitation/index.htm?ref=hl,text/html; charset=UTF-8,200,OK,Indexable,,"Visitation Policy| University Hospital, Newark, NJ",50,427,,0,0,,0,,0,Visitation Policy,17,,0,,0,,0,,,,,,,,,,22941,475,18.232,1,,14,3,0,0.56,80,48,0,12,12,0,,,,,41ffd0223fff9875512a0c3983e68acd,1.008,"Thu, 03 Feb 2022 12:08:47 GMT",,,,1.1,https://uhnj.org/visitation/index.htm?ref=hl,2022-02-04 11:34:19
29,https://uhnj.org/Bulletin/topdocs/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"UH Top Doctors | Press Room | University Hospital, Newark, NJ",61,561,,0,0,,0,,0,UH Top Doctors,14,,0,,0,,0,,,,,,,,,,24952,485,18.655,1,,947,466,0,87.43,79,46,0,12,12,0,,,,,47a7300b3698660d1a6a216a4af9f329,1.863,"Tue, 01 Feb 2022 17:13:23 GMT",,,,1.1,https://uhnj.org/Bulletin/topdocs/index.htm,2022-02-04 11:34:18
30,http://www.uhnj.org/hrweb/,text/html; charset=iso-8859-1,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,207,0,0.0,1,,458,457,0,85.74,0,0,0,0,0,0,,,,,,0.052,,https://uhnj.org/hrweb/,HTTP Redirect,,1.1,http://www.uhnj.org/hrweb/,2022-02-04 11:34:20
31,https://uhnj.org/assets/images/maternal.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,818225,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.022,"Fri, 09 Apr 2021 06:38:35 GMT",,,,1.1,https://uhnj.org/assets/images/maternal.png,2022-02-04 11:34:20
32,https://uhnj.org/privacy/interview_policy.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Web site Privacy Policy| University Hospital, Newark, NJ",56,496,,0,0,,0,,0,University Hospital,19,,0,Interview & Filming Policy,26,,0,,,,,,,,,,30702,1322,31.511,1,,473,456,0,85.55,110,46,0,14,12,0,,,,,760ee95dfb51337abaf37aac4aff15c2,0.957,"Tue, 01 Feb 2022 17:16:55 GMT",,,,1.1,https://uhnj.org/privacy/interview_policy.htm,2022-02-04 11:34:19
33,https://uhnj.org/maternity/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,University Hospital,19,165,,0,0,,0,,0,BEGIN YOUR JOURNEY HEREEMPIEZA TU VIAJE AQUÍ,44,,0,,0,,0,,,,,,,,,,20046,415,14.919,1,,11,3,0,0.56,11,2,0,6,5,0,,,,,78935fad8bcd0616dbf215529eb6a769,0.026,"Wed, 17 Feb 2021 23:03:59 GMT",,,,1.1,https://uhnj.org/maternity/index.htm,2022-02-04 11:34:20
34,https://uhnj.org/assets/images/weight-management2.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,572413,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.025,"Thu, 24 Jun 2021 16:46:59 GMT",,,,1.1,https://uhnj.org/assets/images/weight-management2.jpg,2022-02-04 11:34:20
35,https://uhnj.org/images/new-images/social/YouTube_Tiny.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,3445,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.026,"Fri, 09 Apr 2021 06:42:54 GMT",,,,1.1,https://uhnj.org/images/new-images/social/YouTube_Tiny.png,2022-02-04 11:34:20
36,http://www.uhnj.org/purchweb/,text/html; charset=iso-8859-1,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,210,0,0.0,1,,841,479,0,89.87,0,0,0,0,0,0,,,,,,0.471,,https://uhnj.org/purchweb/,HTTP Redirect,,1.1,http://www.uhnj.org/purchweb/,2022-02-04 11:34:20
38,https://uhnj.org/images/my-chart.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,28672,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.512,"Fri, 09 Apr 2021 06:42:52 GMT",,,,1.1,https://uhnj.org/images/my-chart.jpg,2022-02-04 11:34:20
39,https://uhnj.org/telehealth/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"TeleHealth | University Hospital, Newark, NJ",44,390,,0,0,,0,,0,Virtual Urgent Care,19,,0,,0,,0,,,,,,,,,,26604,714,21.117,1,,14,3,0,0.56,88,55,0,13,13,0,,,,,a0049e6eeda4b92b4d31ca6bcc46728f,0.806,"Tue, 01 Feb 2022 17:18:12 GMT",,,,1.1,https://uhnj.org/telehealth/index.htm,2022-02-04 11:34:20
40,https://uhnj.org/covid-19/index.html,text/html; charset=UTF-8,200,OK,Indexable,,"Covid-19 | University Hospital, Newark, NJ",42,375,,0,0,,0,,0,Trusted Resources,17,,0,,0,,0,,,,,,,,,,28755,494,15.934,1,,58,8,0,1.5,146,50,0,17,13,0,,,,,ed1951cb0cdb0f7639cfe9ddedf22e4,0.904,"Tue, 01 Feb 2022 17:13:32 GMT",,,,1.1,https://uhnj.org/covid-19/index.html,2022-02-04 11:34:20
41,https://uhnj.org/patient_experience/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"University Hospital, Newark, NJ",31,278,,0,0,,0,,0,University Hospital,19,,0,The Patient Experience,22,,0,,,,,,,,,,25112,389,14.657,1,,847,466,0,87.43,112,48,0,17,15,0,,,,,687841c31446e50eb755f98b0aa493e1,0.439,"Tue, 01 Feb 2022 17:16:15 GMT",,,,1.1,https://uhnj.org/patient_experience/index.htm,2022-02-04 11:34:21
42,https://uhnj.org/images/new-images/social/facebook_tiny.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,3236,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.09,"Fri, 09 Apr 2021 06:42:54 GMT",,,,1.1,https://uhnj.org/images/new-images/social/facebook_tiny.png,2022-02-04 11:34:21
43,https://uhnj.org/docs/UH_Combined_TL_and_BB_Sub_Notice_4854-6496-1794_v-1.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,57764,0,0.0,1,,2,2,0,0.38,0,0,0,0,0,0,,,,,,0.091,"Fri, 05 Nov 2021 19:08:41 GMT",,,,1.1,https://uhnj.org/docs/UH_Combined_TL_and_BB_Sub_Notice_4854-6496-1794_v-1.pdf,2022-02-04 11:34:21
45,https://uhnj.org/index.html,text/html; charset=iso-8859-1,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,234,0,0.0,1,,7,7,0,1.31,0,0,0,0,0,0,,,,,,0.028,,https://uhnj.org/index.htm,HTTP Redirect,,1.1,https://uhnj.org/index.html,2022-02-04 11:34:21
46,https://uhnj.org/images/covid-19.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,36994,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.024,"Fri, 09 Apr 2021 06:41:53 GMT",,,,1.1,https://uhnj.org/images/covid-19.jpg,2022-02-04 11:34:21
47,https://uhnj.org/about/administration.htm,text/html; charset=UTF-8,200,OK,Indexable,,"About the Hospital | University Hospital, Newark, NJ",52,455,,0,0,,0,,0,University Hospital Administration,34,,0,,0,,0,,,,,,,,,,24050,297,12.896,1,,1400,466,0,87.43,110,46,0,14,12,0,,,,,3f6745d58e24545f863469ce12db6aad,0.028,"Tue, 01 Feb 2022 17:12:59 GMT",,,,1.1,https://uhnj.org/about/administration.htm,2022-02-04 11:34:21
48,http://www.uhnj.org/mdstfweb/,text/html; charset=iso-8859-1,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,210,0,0.0,1,,843,480,0,90.06,0,0,0,0,0,0,,,,,,0.056,,https://uhnj.org/mdstfweb/,HTTP Redirect,,1.1,http://www.uhnj.org/mdstfweb/,2022-02-04 11:34:21
49,https://uhnj.org/directions/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"University Hospital, Newark, NJ",31,278,,0,0,,0,,0,Directions,10,,0,Directions,10,,0,,,,,,,,,,29315,684,18.404,1,,1342,466,0,87.43,111,47,0,15,13,0,,,,,564d05d4bd686bebd68f367c000074f,0.084,"Tue, 01 Feb 2022 17:13:43 GMT",,,,1.1,https://uhnj.org/directions/index.htm,2022-02-04 11:34:21
50,https://uhnj.org/images/new-images/social/linkedin.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,3288,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.082,"Fri, 09 Apr 2021 06:42:54 GMT",,,,1.1,https://uhnj.org/images/new-images/social/linkedin.png,2022-02-04 11:34:21
51,https://uhnj.org/images/home-community.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,73130,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.08,"Fri, 09 Apr 2021 06:41:53 GMT",,,,1.1,https://uhnj.org/images/home-community.png,2022-02-04 11:34:21
52,https://uhnj.org/about/credo.htm,text/html; charset=UTF-8,200,OK,Indexable,,"About the Hospital | University Hospital, Newark, NJ",52,455,,0,0,,0,,0,Mission/Vision/Values,21,,0,,0,,0,,,,,,,,,,24569,447,16.581,1,,484,466,0,87.43,110,46,0,14,12,0,,,,,6240dafcdc7cfc8cf09dd29599f6282e,0.076,"Tue, 01 Feb 2022 17:12:50 GMT",,,,1.1,https://uhnj.org/about/credo.htm,2022-02-04 11:34:21
53,https://uhnj.org/about/COB/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Community Oversight Board | About the Hospital | University Hospital, Newark, NJ",80,721,,0,0,,0,,0,UH Community Oversight Board,28,,0,UH Community Oversight Board,28,Board Members,13,,,,,,,,,,19707,132,9.726,1,,495,466,0,87.43,69,42,0,10,10,0,,,,,87dbdc933738501c18907a8e624ed044,0.027,"Wed, 02 Feb 2022 17:00:02 GMT",,,,1.1,https://uhnj.org/about/COB/index.htm,2022-02-04 11:34:21
54,https://uhnj.org/images/home-patients.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,67598,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.025,"Fri, 09 Apr 2021 06:42:52 GMT",,,,1.1,https://uhnj.org/images/home-patients.png,2022-02-04 11:34:21
55,http://www.uhnj.org/hrweb/careers/,text/html; charset=iso-8859-1,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,215,0,0.0,1,,450,450,0,84.43,0,0,0,0,0,0,,,,,,0.054,,https://uhnj.org/hrweb/careers/,HTTP Redirect,,1.1,http://www.uhnj.org/hrweb/careers/,2022-02-04 11:34:21
56,https://uhnj.org/about/facts.htm,text/html; charset=UTF-8,200,OK,Indexable,,"About the Hospital | University Hospital, Newark, NJ",52,455,,0,0,,0,,0,About University Hospital: Statistics,37,,0,,0,,0,,,,,,,,,,23322,251,12.303,1,,484,466,0,87.43,110,46,0,14,12,0,,,,,2f6e222ced8223b18169272f383f2f4e,0.027,"Tue, 01 Feb 2022 17:12:59 GMT",,,,1.1,https://uhnj.org/about/facts.htm,2022-02-04 11:34:21
57,https://uhnj.org/transparency/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Transparency In Billing Practices | University Hospital, Newark, NJ",67,584,,0,0,,0,,0,Transparency In Billing Practices,33,,0,,0,,0,,,,,,,,,,18137,71,8.737,1,,837,456,0,85.55,58,34,0,10,10,0,,,,,7abfb9cfa9a62ea3d0415ffd8a0f4c0c,0.027,"Tue, 26 Oct 2021 13:35:52 GMT",,,,1.1,https://uhnj.org/transparency/index.htm,2022-02-04 11:34:21
59,https://uhnj.org/sitemap.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Search results| University Hospital, Newark, NJ",47,415,,0,0,,0,,0,University Hospital Search Results,34,,0,,0,,0,,,,,,,,,,70960,1976,18.865,1,,475,449,0,84.24,588,369,0,28,19,0,,,,,d1d94e4f1cfcd085fad522fb61cd8846,0.081,"Tue, 01 Feb 2022 17:16:56 GMT",,,,1.1,https://uhnj.org/sitemap.htm,2022-02-04 11:34:21
60,https://uhnj.org/contact/OPRA.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Contact | Open Public Records Act | University Hospital, Newark, NJ",67,600,,0,0,,0,,0,Open Public Records Act (OPRA),30,,0,About UH and OPRA,17,,0,,,,,,,,,,23691,322,13.649,1,,473,456,0,85.55,111,47,0,14,12,0,,,,,2225c1036cd3bb4263655e12c637942b,0.076,"Tue, 01 Feb 2022 17:13:32 GMT",,,,1.1,https://uhnj.org/contact/OPRA.htm,2022-02-04 11:34:21
61,https://uhnj.org/assets/images/gwtg2.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,134863,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.028,"Thu, 26 Aug 2021 20:53:10 GMT",,,,1.1,https://uhnj.org/assets/images/gwtg2.png,2022-02-04 11:34:21
62,https://uhnj.org/images/UH-Rutgers_virtual_care.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,21272,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.032,"Fri, 09 Apr 2021 06:41:53 GMT",,,,1.1,https://uhnj.org/images/UH-Rutgers_virtual_care.png,2022-02-04 11:34:21
63,https://uhnj.org/info/community.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Patient info | University Hospital, Newark, NJ",46,393,,0,0,,0,,0,Information For The Community,29,,0,,0,,0,,,,,,,,,,23639,250,11.588,1,,19,3,0,0.56,118,49,0,14,12,0,,,,,72f4fc2529dedc0d23a829d250873e6a,0.082,"Tue, 01 Feb 2022 17:14:56 GMT",,,,1.1,https://uhnj.org/info/community.htm,2022-02-04 11:34:21
66,https://uhnj.org/vaccination/index.htm,text/html; charset=UTF-8,200,OK,Indexable,,"COVID-19 Vaccine Clinic| University Hospital, Newark, NJ",56,511,,0,0,,0,,0,COVID-19 Vaccine Clinic @ University Hospital,45,,0,,0,,0,,,,,,,,,,23294,365,14.331,1,,19,4,0,0.75,83,51,0,14,14,0,,,,,a91ca924802c6bd4139df5ed26ecc9fb,0.395,"Tue, 01 Feb 2022 17:18:29 GMT",,,,1.1,https://uhnj.org/vaccination/index.htm,2022-02-04 11:34:22
67,https://mychart.uhnj.org/MyChart-PRD/,text/html,302,Object moved,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,144,0,0.0,1,,374,214,0,40.15,0,0,0,0,0,0,,,,,,0.091,,https://mychart.uhnj.org/MyChart-PRD/Authentication/Login?,HTTP Redirect,,1.1,https://mychart.uhnj.org/MyChart-PRD/,2022-02-04 11:34:22
68,https://uhnj.org/images/home-physicians.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,70834,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.026,"Fri, 09 Apr 2021 06:42:55 GMT",,,,1.1,https://uhnj.org/images/home-physicians.png,2022-02-04 11:34:22
70,https://uhnj.org/directory/department.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Department Directory | University Hospital, Newark, NJ",54,482,,0,0,,0,,0,Department Directory,20,,0,Department Directory,20,,0,,,,,,,,,,50906,861,13.564,1,,484,466,0,87.43,288,217,0,14,12,0,,,,,dcef37c64336946f09a9874976925bf0,0.345,"Tue, 01 Feb 2022 17:14:06 GMT",,,,1.1,https://uhnj.org/directory/department.htm,2022-02-04 11:34:22
71,https://uhnj.org/info/visitors.htm,text/html; charset=UTF-8,200,OK,Indexable,,"Patient info | University Hospital, Newark, NJ",46,393,,0,0,,0,,0,Information For Visitors,24,,0,,0,,0,,,,,,,,,,23438,229,11.329,1,,19,3,0,0.56,115,47,0,15,13,0,,,,,290f60c64d3d7b45fcc3638aba4e76a1,0.081,"Tue, 01 Feb 2022 17:35:26 GMT",,,,1.1,https://uhnj.org/info/visitors.htm,2022-02-04 11:34:22
72,http://www.uhnj.org/uhnetweb/,text/html; charset=iso-8859-1,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,210,0,0.0,1,,482,481,0,90.24,0,0,0,0,0,0,,,,,,0.053,,https://uhnj.org/uhnetweb/,HTTP Redirect,,1.1,http://www.uhnj.org/uhnetweb/,2022-02-04 11:34:22
