,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,Search 1: bridge clinic,URL Encoded Address,Crawl Timestamp
211,https://www.ynhh.org/services/Department-of-Radiology-and-Biomedical-Imaging/Bone-Density,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | Bone Density,36,343,Bone density testing uses X-rays to measure the amount of calcium and minerals in your bones to determine your risk for a bone fracture or osteoporosis.,152,954,"bone density, radiology, diagnostic radiology",45,Bone Density,12,,0,Additional information,22,Locations,9,,,,https://www.ynhh.org/,,,,,,84998,690,7.4,2,,15,5,0,1.56,196,80,0,81,33,0,,,,,c1c85f1a181945c3a7ef22dc3c6bcc05,0.519,,,,,1.1,0,https://www.ynhh.org/services/Department-of-Radiology-and-Biomedical-Imaging/Bone-Density,2021-11-29 14:57:31
212,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/Farsi_PersianF6304_Summary_of_FAP_and_Application_0620.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,840966,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.226,"Thu, 16 Jul 2020 18:36:47 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/Farsi_PersianF6304_Summary_of_FAP_and_Application_0620.ashx,2021-11-29 14:57:32
213,https://www.ynhh.org/contact/contact-us-form,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Contact Us - Yale New Haven Hospital,36,339,Have a question or comment for the webmaster at Yale New Haven Hospital? Ask it here,84,549,"contact us, yale-new have hospital, questions",45,Contact Us,10,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,106931,560,5.419,2,,7,2,0,0.63,170,66,0,80,32,0,,,,,8ddc3007fd768496c3f0ae071826379,0.337,,,,,1.1,0,https://www.ynhh.org/contact/contact-us-form,2021-11-29 14:57:32
214,https://www.ynhh.org/childrens-hospital/services/quality-safety,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Quality and Safety - Yale New Haven Children's Hospital,55,497,"At Yale New Haven Children's Hospital, we are committed to delivering the highest quality and safest care possible. We are also committed to sharing information about the quality of our care with our patients and their families",227,1392,"clinical outcomes, patient satisfaction, care delivery, patient safety, communication, preventing infections, reducing medication errors, staff identification, patient identification, rapid response team, safety tips",216,Quality and Safety,18,,0,Quality Medical Measures,24,Patient Safety,14,,,,https://www.ynhh.org/,,,,,,92314,1619,12.481,2,,118,44,0,13.75,168,66,0,65,28,0,,,,,6ce9344cc357a1ec16088d6327b78dcc,0.396,,,,,1.1,0,https://www.ynhh.org/childrens-hospital/services/quality-safety,2021-11-29 14:57:32
215,https://www.ynhh.org/medical-professionals/EMS,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Hospital Center for EMS,38,365,Yale New Haven Hospital Center for EMS provides medical oversight and training to paramedics and EMTs operating throughout greater New Haven.,141,922,"Emergency Medical Services, EMS, trauma, paramedic, EMT, ambulance, triage",74,Center for EMS,14,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,86819,682,7.407,2,,28,10,0,3.13,180,69,0,80,32,0,,,,,8c7b5b3451bf5196a907b079316ba405,0.371,,,,,1.1,0,https://www.ynhh.org/medical-professionals/EMS,2021-11-29 14:57:32
216,https://www.ynhh.org/news/medically-tailored-meals-pilot-at-bridgeport-hospital-targets-food-insecurity,text/html; charset=utf-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,2,1,0,0.31,0,0,0,0,0,0,,,,,,0.413,,https://www.ynhhs.org/news/medically-tailored-meals-pilot-at-bridgeport-hospital-targets-food-insecurity,HTTP Redirect,,1.1,0,https://www.ynhh.org/news/medically-tailored-meals-pilot-at-bridgeport-hospital-targets-food-insecurity,2021-11-29 14:57:32
217,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/Cape_Verdean_CreoleF6304_Summary_of_FAP_and_Application_0620.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,676982,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.254,"Thu, 16 Jul 2020 18:36:47 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/Cape_Verdean_CreoleF6304_Summary_of_FAP_and_Application_0620.ashx,2021-11-29 14:57:32
218,https://www.ynhh.org/services/blood-draw-stations,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Blood Draw Stations at Yale New Haven Hospital,46,429,See all blood draw stations serving Yale New Haven Hospital,59,378,"blood draw stations, outpatient, outpatient facilities",54,Blood Draw Stations,19,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,99707,742,6.685,2,,15,7,0,2.19,192,85,0,80,32,0,,,,,30e9d2d407600884d9684297f0957585,0.39,,,,,1.1,0,https://www.ynhh.org/services/blood-draw-stations,2021-11-29 14:57:33
219,https://www.ynhh.org/services/heart-and-vascular/structural-heart-disease,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Structural Heart and Valve Disease Program at Yale New Haven Hospital,69,639,"The Structural Heart and Valve Disease Program provides expert care to patients with advanced, complex structural heart disease. A multidisciplinary team of specialists representing cardiology, interventional cardiology, cardiac surgery, cardiovascular imaging and cardiac anesthesia, provide collaborative care.",312,1932,"heart, structural heart, valve disease, structural heart and valve disease program, structural heart disease, minimally invasive heart surgery, heart vavles, aortic valve, mitral valve, stenosis, leaky valve, aortic stenosis, atrial septal defects and patent foramen ovales (PFOs), coarctation of the aorta, left atrial appendage closure, mitral valve regurgitation, mitral valve stenosis, ventricular septal defects, transcatheter aortic valve replacement, TAVR, transcatheter mitral valve repair and replacement",513,Structural Heart and Valve Disease,34,,0,What is Structural Heart Disease?,33,Conditions Treated,18,,,,https://www.ynhh.org/,,,,,,87014,1004,10.034,2,,7,2,0,0.63,178,68,0,81,33,0,,,,,e5e10bf0eae3aa0f734e1d5c4c5e7f0d,0.428,,,,,1.1,0,https://www.ynhh.org/services/heart-and-vascular/structural-heart-disease,2021-11-29 14:57:33
220,https://www.ynhh.org/404,,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,1,1,0,0.31,0,0,0,0,0,0,,,,,,,,,,,None,0,https://www.ynhh.org/404,2021-11-29 14:57:33
221,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/TigrinyaF6304_Summary_of_FAP_and_Application_0620.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1020815,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.199,"Thu, 16 Jul 2020 18:38:52 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/TigrinyaF6304_Summary_of_FAP_and_Application_0620.ashx,2021-11-29 14:57:33
222,https://www.ynhh.org/services/digestive-health/advanced-endoscopy,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Advanced Endoscopy,18,192,An endoscopy is a procedure used by physicians to look inside the body using an instrument equipped with a small camera.,120,762,"Advanced Endoscopy, digestive health",36,Advanced Endoscopy,18,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,95147,1606,13.308,2,,25,11,0,3.44,222,88,0,83,34,0,,,,,92d3958ba7426e9d244b16778c1c07be,0.334,,,,,1.1,0,https://www.ynhh.org/services/digestive-health/advanced-endoscopy,2021-11-29 14:57:33
223,https://www.ynhh.org/-/media/Images/Heros/new/YNHH/YNHPHM5f.ashx?mh=450&mw=338&hash=78382D25647C3857CA7C6F1F3474E4F9,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,237533,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.187,"Fri, 16 Nov 2018 16:15:59 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/new/YNHH/YNHPHM5f.ashx?mh=450&mw=338&hash=78382D25647C3857CA7C6F1F3474E4F9,2021-11-29 14:57:33
224,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_French.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,248835,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.218,"Tue, 23 Feb 2021 19:23:41 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_French.ashx,2021-11-29 14:57:33
225,https://www.ynhh.org/-/media/Images/Floorplans-Maps/ynhh.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,457259,0,0.0,2,,1,1,0,0.31,0,0,0,0,0,0,,,,,,0.222,"Fri, 11 Sep 2015 15:00:31 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Floorplans-Maps/ynhh.ashx,2021-11-29 14:57:34
226,https://www.ynhh.org/services/digestive-health/motility-program,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Gastrointestinal Motility Program at YNHH,41,369,Yale New Haven’s Gastrointestinal Motility Program is one of most comprehensive programs in New England for the diagnosis & treatment of motility disorders,155,981,"Gastrointestinal, gastroenterology, motility program",52,Motility Program,16,,0,Motility Disorders,18,Diagnosis and Treatment,23,,,,https://www.ynhh.org/,,,,,,89357,1004,9.844,2,,26,10,0,3.13,217,87,0,80,32,0,,,,,ef3744c85853e5827c016ece1ab44678,0.391,,,,,1.1,0,https://www.ynhh.org/services/digestive-health/motility-program,2021-11-29 14:57:33
227,https://www.ynhh.org/services/digestive-health/ostomy-services,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | Ostomy Services,39,374,"At Yale New Haven Hospital, our dedicated ostomy team aims to teach patients and their loved ones the importance of caring for ostomies to avoid complications and improve quality of life.",187,1166,"ostomy, digestive health",24,Ostomy Services,15,,0,Services,8,When to make an appointment,27,,,,https://www.ynhh.org/,,,,,,90520,949,9.004,2,,27,11,0,3.44,220,89,0,80,32,0,,,,,927f65867434735108000ade3efa67d4,0.374,,,,,1.1,0,https://www.ynhh.org/services/digestive-health/ostomy-services,2021-11-29 14:57:33
228,https://www.ynhh.org/childrens-hospital/patients-visitors,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Patients & Visitors,19,160,Here's everything you need to know to prepare for your child's visit either for an appointment or hospital stay,111,671,"patients, visitors, what to expect as a pediatric patient, visiting hours, amenities, patient rights & responsibilities",119,Patients & Visitors,19,,0,Why YNHH,8,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,89613,868,7.968,2,,187,44,0,13.75,190,67,0,68,29,0,,,,,99494d2526f820d17b9eb20914c0d5f4,1.462,,,,,1.1,0,https://www.ynhh.org/childrens-hospital/patients-visitors,2021-11-29 14:57:32
229,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_Swahili.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,244354,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.194,"Tue, 23 Feb 2021 19:25:35 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_Swahili.ashx,2021-11-29 14:57:34
230,https://www.ynhh.org/services/heart-and-vascular/cardiac-surgery,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | cardiac surgery,39,361,The cardiac surgeons at Yale New Haven Hospital perform the full spectrum of open-heart operations for both adults and children.,128,800,"surgery, heart and vascular, cardiac",36,Cardiac Surgery,15,,0,Conditions,10,Operations/Treatments,21,,,,https://www.ynhh.org/,,,,,,88237,906,9.123,2,,14,4,0,1.25,196,80,0,81,33,0,,,,,200a32bd1fc8549c8fc6cd8d7b740b69,0.353,,,,,1.1,0,https://www.ynhh.org/services/heart-and-vascular/cardiac-surgery,2021-11-29 14:57:34
231,https://www.ynhh.org/services/womens-health/Womens-Heart-Health,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | Womens Heart Health,43,420,,0,0,,0,Women's Heart and Vascular Program,34,,0,Services,8,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,85227,872,9.1,2,,10,3,0,0.94,178,68,0,81,33,0,,,,,96a6ce72f091ae77454e50772c6abd89,0.373,,,,,1.1,0,https://www.ynhh.org/services/womens-health/Womens-Heart-Health,2021-11-29 14:57:34
232,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_Vietnamese.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,286934,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.297,"Tue, 23 Feb 2021 19:25:37 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_Vietnamese.ashx,2021-11-29 14:57:35
233,https://www.ynhh.org/medical-professionals/Nursing,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Nursing,7,70,"At Yale New Haven Hospital, more than 4,000 nurses care for patients across two inpatient campuses and in more than 100 outpatient locations. Our York Street and Saint Raphael campuses and ambulatory sites are Magnet-designated by the ANCC. Yale New Haven Hospital is part of Yale New Haven Health System (YNHHS).",313,2037,"yale new haven hospital, nursing, magnet",40,Nursing,7,,0,Leaders In Practice and Innovation,34,Thank you for your feedback.,28,,,,https://www.ynhh.org/,,,,,,86677,828,8.625,2,,14,5,0,1.56,191,74,0,80,32,0,,,,,e87b6c262990e75c124ae62052693fce,0.385,,,,,1.1,0,https://www.ynhh.org/medical-professionals/Nursing,2021-11-29 14:57:35
234,https://www.ynhh.org/news/westerly-hospital-awarded-acute-stroke-ready-hospital-recertification-from-the-joint-commission,text/html; charset=utf-8,302,Found,Non-Indexable,Redirected,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,2,1,0,0.31,0,0,0,0,0,0,,,,,,1.697,,https://www.westerlyhospital.org/news/westerly-hospital-awarded-acute-stroke-ready-hospital-recertification-from-the-joint-commission,HTTP Redirect,,1.1,0,https://www.ynhh.org/news/westerly-hospital-awarded-acute-stroke-ready-hospital-recertification-from-the-joint-commission,2021-11-29 14:57:34
235,https://www.ynhh.org/services/quality-safety/patient,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Patient Safety - Yale New Haven Hospital,40,363,"At Yale New Haven Hospital, we believe it is every patient's right to receive the best, safest care available—and our responsibility to make sure our practices and facilities remain safe, sound and secure",204,1253,"safety, patient safety",22,Patient Safety,14,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,86874,901,8.892,2,,18,6,0,1.88,193,72,0,80,32,0,,,,,e39d45545e18fc957100083fc24b2fc1,0.344,,,,,1.1,0,https://www.ynhh.org/services/quality-safety/patient,2021-11-29 14:57:35
236,https://www.ynhh.org/-/media/Files/YNHH/PDF/Medical-Staff/observer_app_07_08_2021.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,1760971,0,0.0,2,,1,1,0,0.31,0,0,0,0,0,0,,,,,,0.223,"Thu, 29 Jul 2021 18:44:34 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHH/PDF/Medical-Staff/observer_app_07_08_2021.ashx,2021-11-29 14:57:36
237,https://www.ynhh.org/patients-visitors/patient-rights-responsibilities.aspx,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Patient Rights and Responsibilities - Yale New Haven Hospital,61,548,Yale New Haven Hospital staff and physicians support the rights of all patients,79,483,"patient rights, patient responsibilities, your visit or stay",60,,0,,0,Patient Rights,14,Patient Responsibilities,24,,,,https://www.ynhh.org/,,,,,,88374,1282,11.547,2,,5,2,0,0.63,185,69,0,83,35,0,,,,,8460309f58a8747eef9e5904bd89fc01,0.332,,,,,1.1,0,https://www.ynhh.org/patients-visitors/patient-rights-responsibilities.aspx,2021-11-29 14:57:36
238,https://www.ynhh.org/-/media/Images/Heros/ynhh/hero_ynhh_neurology_neurosurgery_destefano.ashx?mh=295&mw=1440&hash=40131835048297C99D7CFEF1ED25462A,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,51361,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.25,"Wed, 07 Aug 2019 16:07:51 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/ynhh/hero_ynhh_neurology_neurosurgery_destefano.ashx?mh=295&mw=1440&hash=40131835048297C99D7CFEF1ED25462A,2021-11-29 14:57:36
239,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_Russian.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,294688,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.207,"Tue, 23 Feb 2021 19:25:34 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2021/policy_2296/2021_FAP_Russian.ashx,2021-11-29 14:57:36
240,https://www.ynhh.org/-/media/Images/Heros/LM/Mock_Hero_fgd.ashx?mh=450&mw=338&hash=79DF4E323A3EB4DF8E20E316AA34EB98,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,717,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.206,"Wed, 16 Jun 2021 20:09:30 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/LM/Mock_Hero_fgd.ashx?mh=450&mw=338&hash=79DF4E323A3EB4DF8E20E316AA34EB98,2021-11-29 14:57:36
241,https://www.ynhh.org/-/media/Images/Heros/smilow/3197_Smilow_YCC_Web_Heroes_BillBrown_finalv2.ashx?mh=450&mw=338&hash=CDB11B58955CB651362B5F06359B020C,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,180180,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.201,"Tue, 16 Nov 2021 16:04:23 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/smilow/3197_Smilow_YCC_Web_Heroes_BillBrown_finalv2.ashx?mh=450&mw=338&hash=CDB11B58955CB651362B5F06359B020C,2021-11-29 14:57:36
242,https://www.ynhh.org/ynhhs/patient%20care/billing%20insurance/Resources.aspx,text/html; charset=utf-8,404,Page not found,Non-Indexable,Client Error,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,9,5,0,1.56,0,0,0,0,0,0,,,,,,0.362,,,,,1.1,0,https://www.ynhh.org/ynhhs/patient%20care/billing%20insurance/Resources.aspx,2021-11-29 14:57:36
243,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/KoreanF6304_Summary_of_FAP_and_Application_0620.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,833854,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.195,"Thu, 16 Jul 2020 18:36:50 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/financial-assistance-policy/2020/summary_f6304_July/KoreanF6304_Summary_of_FAP_and_Application_0620.ashx,2021-11-29 14:57:36
244,https://www.ynhh.org/services/transplantation/center-for-living-organ-donors,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | Center for Living Organ Donors,54,501,The Center for Living Organ Donors is a program that arranges for kidney and liver transplants from living donors. Our program provides a wide spectrum of care throughout the donation process and afterwards with lifetime medical and social monitoring related to donation.,271,1681,"organ donation, living",22,Center for Living Organ Donors,30,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,90161,966,8.989,2,,20,7,0,2.19,192,76,0,80,32,0,,,,,4b4c21e331b6615a87efea1722699a9,0.356,,,,,1.1,0,https://www.ynhh.org/services/transplantation/center-for-living-organ-donors,2021-11-29 14:57:36
245,https://www.ynhh.org/-/media/Images/Heros/new/YNHPH_M2f.ashx?mh=450&mw=338&hash=47831C17D2E23CCD7DF970629FE5326D,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,237831,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.322,"Fri, 16 Nov 2018 16:55:59 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Heros/new/YNHPH_M2f.ashx?mh=450&mw=338&hash=47831C17D2E23CCD7DF970629FE5326D,2021-11-29 14:57:37
246,https://www.ynhh.org/smilow/patients-visitors/amenities/family-surgical-lounge,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Family Surgical Lounge,22,209,,0,0,,0,Family Surgical Lounge,22,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,78892,617,7.032,2,,11,4,0,1.25,168,66,0,65,28,0,,,,,bca848d1cee66f5b0eb559f5dc5aa304,0.523,,,,,1.1,0,https://www.ynhh.org/smilow/patients-visitors/amenities/family-surgical-lounge,2021-11-29 14:57:37
247,https://www.ynhh.org/sitecore/service/notfound.aspx?item=web%3A{0342D915-D551-4884-A468-8AAB42BB5C0B}%40en,,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,0,0,0.0,2,,2,1,0,0.31,0,0,0,0,0,0,,,,,,,,,,,None,0,https://www.ynhh.org/sitecore/service/notfound.aspx?item=web%3A%7B0342D915-D551-4884-A468-8AAB42BB5C0B%7D%40en,2021-11-29 14:57:37
248,https://www.ynhh.org/smilow/services/radiation-oncology/radiation-safety,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Yale New Haven Health | radonc safety,37,343,,0,0,,0,Radiation Therapy Quality and Safety,36,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,82636,745,8.137,2,,9,3,0,0.94,162,63,0,67,29,0,,,,,da6a499f17a6c8b029be8ff359141c85,0.373,,,,,1.1,0,https://www.ynhh.org/smilow/services/radiation-oncology/radiation-safety,2021-11-29 14:57:37
249,https://www.ynhh.org/-/media/Images/Page-Content/YNHH-Page-Content/Patients-and-Visitors/glass-door-gift-shop/giftshop16.ashx?la=en&hash=98742D9744AF94A2CACAC2961FA1A89E,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,17485,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.225,"Wed, 01 Jul 2015 09:21:48 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Page-Content/YNHH-Page-Content/Patients-and-Visitors/glass-door-gift-shop/giftshop16.ashx?la=en&hash=98742D9744AF94A2CACAC2961FA1A89E,2021-11-29 14:57:37
250,https://www.ynhh.org/psychiatric/services/tay,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Transitional-Aged Youth Program at Yale New Haven Psychiatric Hospital,70,646,"The Transitional-Aged Youth (TAY) program at Yale New Haven Psychiatric Hospital (YNHPH) was created to provide specialized psychological support for individuals between 18 and 25 years of age with extra social support in a safe space, to build skills following an inpatient treatment and/or acquire new skills to manage mental health.",335,2085,"behavioral health, transitional-aged Yyouth, young adult",56,Transitional-Aged Youth Program,31,,0,Our Treatment Method,20,Intensive Outpatient Program (IOP) for Young Adults,51,,,,https://www.ynhh.org/,,,,,,87616,1120,10.401,2,,5,2,0,0.63,154,57,0,64,27,0,,,,,8391cfc6629336f590e903f4af7a2090,0.359,,,,,1.1,0,https://www.ynhh.org/psychiatric/services/tay,2021-11-29 14:57:37
251,https://www.ynhh.org/medical-professionals/gme/admissions,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Residency and Fellowship Admissions,35,339,,0,0,,0,Residency and Fellowship Admissions,35,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,85456,842,9.064,2,,15,5,0,1.56,181,70,0,83,35,0,,,,,ae7e394ec5569e1e5d1371b834a8a848,0.35,,,,,1.1,0,https://www.ynhh.org/medical-professionals/gme/admissions,2021-11-29 14:57:37
252,https://www.ynhh.org/-/media/Images/Publications/Centerpoint/centerpoint_thumb.ashx?mh=380&mw=380&hash=C39D2D78C19EEF873DE37D6ED45F16F7,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,107998,0,0.0,2,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.203,"Mon, 21 Sep 2015 11:59:19 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Images/Publications/Centerpoint/centerpoint_thumb.ashx?mh=380&mw=380&hash=C39D2D78C19EEF873DE37D6ED45F16F7,2021-11-29 14:57:38
253,https://www.ynhh.org/services/neurology-neurosurgery/conditions/trigeminal-neuralgia,text/html; charset=utf-8,200,OK,Non-Indexable,Canonicalised,Trigeminal Neuralgia – Yale New Haven Hospital,46,430,"At Yale New Haven Hospital we bring together a team of neurosurgeons, pain management specialists and more to treat trigeminal neuralgia",136,867,"trigeminal neuralgia, tic douloureaux, face pain, facial nerve pain",67,Trigeminal Neuralgia,20,,0,Thank you for your feedback.,28,,0,,,,https://www.ynhh.org/,,,,,,84396,649,7.413,2,,16,6,0,1.88,193,75,0,80,32,0,,,,,eb3e3db1e6b9a3a9cb05f2e5dcfc819,0.439,,,,,1.1,0,https://www.ynhh.org/services/neurology-neurosurgery/conditions/trigeminal-neuralgia,2021-11-29 14:57:38
254,https://www.ynhh.org/-/media/Files/YNHHS/PDF/Billing-Fin-Asst/FA_Providers_11-12-21_Not-Covered.ashx,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,347456,0,0.0,2,,2,2,0,0.63,0,0,0,0,0,0,,,,,,0.331,"Wed, 24 Nov 2021 20:40:55 GMT",,,,1.1,0,https://www.ynhh.org/-/media/Files/YNHHS/PDF/Billing-Fin-Asst/FA_Providers_11-12-21_Not-Covered.ashx,2021-11-29 14:57:38
