,Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
13,https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits,text/html; charset=UTF-8,200,OK,Indexable,,UCH chart outpatient visits | University of California Health,61,513,,0,0,,0,UCH chart outpatient visits,27,,0,,0,,,,https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits,,,,,,33872,82,4.898,1,,6,4,0,2.61,70,43,0,10,9,0,,,,,4c7d1025b1ab427ed5d65f5085ddcfc4,0.282,,,,,1.1,https://health.universityofcalifornia.edu/dashboards/uch-chart-outpatient-visits,2022-02-04 10:27:52
14,https://health.universityofcalifornia.edu/research,text/html; charset=UTF-8,200,OK,Indexable,,Research | University of California Health,42,362,"Across University of California Health, the world’s top basic, translational and clinical researchers work together to solve the toughest problems facing humanity.",163,990,,0,Research,8,"Leading California, the Nation and the World",44,Search Our Clinical Trials,26,,,,https://health.universityofcalifornia.edu/research,,,,,,44846,614,11.49,1,,169,151,0,98.69,75,42,0,18,11,0,,,,,cbcee384454504c45fe6c73d00efcf56,0.173,,,,,1.1,https://health.universityofcalifornia.edu/research,2022-02-04 10:27:52
15,https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities,text/html; charset=UTF-8,200,OK,Indexable,,University of California Health signs Health Equity Pledge to leverage data in addressing disparities | University of California Health,135,1148,,0,0,,0,University of California Health signs Health Equity Pledge to leverage data in addressing disparities,101,,0,,0,,,,https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities,,,,,,49232,1440,22.747,1,,5,5,0,3.27,72,44,0,18,15,0,,,,,5280050b639ec072ef730fdbe1f0d60,0.154,,,,,1.1,https://health.universityofcalifornia.edu/news/university-california-health-signs-health-equity-pledge-leverage-data-addressing-disparities,2022-02-04 10:27:52
16,https://health.universityofcalifornia.edu/patient-care,text/html; charset=UTF-8,200,OK,Indexable,,Patient Care | University of California Health,46,387,"At University of California Health, world-leading physicians and researchers share knowledge to improve patient care and create new treatments more quickly.",156,978,,0,Patient Care Continually seeking—and sharing—new ways to improve your health,76,UCH Academic Health Centers,27,Our Academic Health Centers,27,,,,https://health.universityofcalifornia.edu/patient-care,,,,,,58493,610,8.497,1,,159,151,0,98.69,98,44,0,10,9,0,,,,,74be13037826931302827ff7486e9b58,0.129,,,,,1.1,https://health.universityofcalifornia.edu/patient-care,2022-02-04 10:27:52
17,https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0,text/html; charset=UTF-8,200,OK,Indexable,,New study shows UC system mitigation efforts reduced campus COVID-19 infection rates | University of California Health,118,1061,,0,0,,0,New study shows UC system mitigation efforts reduced campus COVID-19 infection rates,84,A UC system-wide effort,23,UC efforts limited COVID-19 spread,34,,,,https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0,,,,,,44469,1042,17.894,1,,10,6,0,3.92,70,43,0,18,17,0,,,,,ece83a6023d452fa8a75af63075787f4,0.129,,,,,1.1,https://health.universityofcalifornia.edu/news/new-study-shows-uc-system-mitigation-efforts-reduced-campus-covid-19-infection-rates-0,2022-02-04 10:27:52
18,https://health.universityofcalifornia.edu/news,text/html; charset=UTF-8,200,OK,Indexable,,News | University of California Health,38,327,,0,0,,0,University of California Health News,36,Featured Stories,16,University of California Health News,36,,,,https://health.universityofcalifornia.edu/news,,,,,,64165,487,6.799,1,,207,151,0,98.69,96,56,0,14,13,0,,,,,41ce4a8de31582807922147626e54b0d,0.136,,,,,1.1,https://health.universityofcalifornia.edu/news,2022-02-04 10:27:52
21,https://health.universityofcalifornia.edu/education/dentistry,text/html; charset=UTF-8,200,OK,Indexable,,Dentistry | University of California Health,43,356,UC Schools of Dentistry at UCLA and UCSF prepare you to meet oral health demands through service and patient care—and research to improve future care.,150,977,,0,University of California Schools of Dentistry,45,Becoming a Dentist,18,Leading California — and the Nation,35,,,,https://health.universityofcalifornia.edu/education/dentistry,,,,,,49349,634,10.666,1,,314,151,0,98.69,75,43,0,23,19,0,,,,,e53a195c2db7b5923a4f3a21d49601e2,0.186,,,,,1.1,https://health.universityofcalifornia.edu/education/dentistry,2022-02-04 10:27:52
22,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health,text/html; charset=UTF-8,200,OK,Indexable,,UCSF Health | University of California Health,45,395,"As an academic health center, UCSF Health physicians and researchers exchange research, data and best practices across University of California Health.",151,965,,0,UCSF Health,11,About UCSF Health,17,In the Top 10 for U.S. Hospitals,32,,,,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health,,,,,,46660,699,11.86,1,,310,151,0,98.69,76,42,0,28,21,0,,,,,d43976b41066620b9265ae94ddc4294,0.144,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/academic-health-centers/ucsf-health,2022-02-04 10:27:52
23,https://health.universityofcalifornia.edu/education/public-health,text/html; charset=UTF-8,200,OK,Indexable,,Public Health | University of California Health,47,395,"University of California Public Health programs prepare you to tackle pressing public health issues, including climate change, inequity and pandemic response.",158,976,,0,University of California Schools of Public Health,49,Critical Need for Public Health Expertise,41,Leading California — and the Nation,35,,,,https://health.universityofcalifornia.edu/education/public-health,,,,,,58965,1057,13.879,1,,314,151,0,98.69,72,42,0,28,23,0,,,,,b6e0f262f14a1b49f791368a04d594d9,0.182,,,,,1.1,https://health.universityofcalifornia.edu/education/public-health,2022-02-04 10:27:52
24,https://health.universityofcalifornia.edu/about-us/administration-leadership,text/html; charset=UTF-8,200,OK,Indexable,,Administration & Leadership | University of California Health,61,526,"The leadership of UCH works collaboratively to accelerate the pace of research, improve patient care, improve access to health education and training and ensure that University community members have quality health benefits.",224,1408,,0,Administration & Leadership,27,Interior Menu,13,View Leadership at UCH System Office,36,,,,https://health.universityofcalifornia.edu/about-us/administration-leadership,,,,,,79758,1260,14.439,1,,183,151,0,98.69,110,51,0,44,41,0,,,,,257a3d8e4ffe7226208589493aff44b8,0.182,,,,,1.1,https://health.universityofcalifornia.edu/about-us/administration-leadership,2022-02-04 10:27:52
25,https://health.universityofcalifornia.edu/education/medicine,text/html; charset=UTF-8,200,OK,Indexable,,Medicine | University of California Health,42,357,University of California’s Schools of Medicine are among the best in the nation and we invite you to tackle today’s most difficult health care challenges.,154,933,,0,University of California Schools of Medicine,44,Becoming a Doctor,17,Leading California — and the Nation,35,,,,https://health.universityofcalifornia.edu/education/medicine,,,,,,62254,1086,12.977,1,,320,151,0,98.69,72,43,0,51,44,0,,,,,d76d92c94481b96622cd892dab43eab7,0.19,,,,,1.1,https://health.universityofcalifornia.edu/education/medicine,2022-02-04 10:27:52
26,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Health-Pediatrics-1.JPG?h=f7a79ff7&itok=Su58dHBU,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,36573,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.322,"Wed, 03 Nov 2021 15:39:08 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Health-Pediatrics-1.JPG?h=f7a79ff7&itok=Su58dHBU,2022-02-04 10:27:53
27,https://health.universityofcalifornia.edu/about-us,text/html; charset=UTF-8,200,OK,Indexable,,About Us | University of California Health,42,359,"University of California Health includes six academic health centers, 20 health professional schools and four children’s hospitals. We’re here to improve health for all Californians.",182,1099,,0,About Us,8,Among the Best in the Nation,28,,0,,,,https://health.universityofcalifornia.edu/about-us,,,,,,38588,408,9.56,1,,333,151,0,98.69,89,51,0,13,10,0,,,,,2f263bb0ab350aabcfc7ba3556301968,0.193,,,,,1.1,https://health.universityofcalifornia.edu/about-us,2022-02-04 10:27:53
28,https://health.universityofcalifornia.edu/research/clinical-trials,text/html; charset=UTF-8,200,OK,Indexable,,Clinical Trials | University of California Health,49,397,"UCH is home to over 4,600 clinical trials for a wide range of conditions. Through clinical trials, you can access treatments before they may be widely available.",161,982,,0,Clinical Trials,15,Find a Clinical Trial,21,Search Our Clinical Trials,26,,,,https://health.universityofcalifornia.edu/research/clinical-trials,,,,,,42447,471,10.008,1,,305,151,0,98.69,75,42,0,19,12,0,,,,,8f4686a2964105289119d6ee8a467df6,0.162,,,,,1.1,https://health.universityofcalifornia.edu/research/clinical-trials,2022-02-04 10:27:53
29,https://health.universityofcalifornia.edu/news/system,text/html; charset=UTF-8,200,OK,Indexable,,News Around the System | University of California Health,56,500,,0,0,,0,Latest News from University of California Health,48,,0,,0,,,,https://health.universityofcalifornia.edu/news/system,,,,,,52504,631,10.055,1,,3,3,0,1.96,88,60,0,10,9,0,,,,,2f548df920f5c5d53b1732bbc361f052,0.189,,,,,1.1,https://health.universityofcalifornia.edu/news/system,2022-02-04 10:27:53
30,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCLA_Mattel_Childrens_Hospital_with_Superhero_Window_Cleaners%20%28002%29.jpg?h=252f27fa&itok=NEzoFu_L,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,47972,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.103,"Wed, 03 Nov 2021 15:41:31 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCLA_Mattel_Childrens_Hospital_with_Superhero_Window_Cleaners%20%28002%29.jpg?h=252f27fa&itok=NEzoFu_L,2022-02-04 10:27:53
32,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCI-trainees-20-health-prof-schools.jpg?h=2992ba0a&itok=n8DcUryz,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,30343,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.144,"Wed, 03 Nov 2021 15:41:32 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-06/UCI-trainees-20-health-prof-schools.jpg?h=2992ba0a&itok=n8DcUryz,2022-02-04 10:27:53
34,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UniversityCalHealthPediatrics.jpg?h=10d202d3&itok=9ds0LmcB,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,31852,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.179,"Wed, 03 Nov 2021 15:39:07 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UniversityCalHealthPediatrics.jpg?h=10d202d3&itok=9ds0LmcB,2022-02-04 10:27:53
36,https://health.universityofcalifornia.edu/education,text/html; charset=UTF-8,200,OK,Indexable,,Education | University of California Health,43,366,"Across 20 health science schools, University of California Health enrolls around 15,000 health sciences students, trainees and residents. Find where you fit.",157,969,,0,Education Innovative education and training,43,Educating Tomorrow’s Health Professionals,41,"Leading California, the Nation and the World",44,,,,https://health.universityofcalifornia.edu/education,,,,,,61127,954,11.93,1,,629,151,0,98.69,100,45,0,10,9,0,,,,,625e272b0dbb043d687be0191141744b,0.155,,,,,1.1,https://health.universityofcalifornia.edu/education,2022-02-04 10:27:53
37,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences,text/html; charset=UTF-8,200,OK,Indexable,,"Diversity, Equity and Inclusion in the Health Sciences | University of California Health",88,746,University of California Health is actively pursuing ways to make health care and health sciences education more equitable through diversity and inclusion.,155,954,,0,"Diversity, Equity and Inclusion in the Health Sciences",54,Interior Menu,13,"UC Health Sciences Diversity, Equity and Inclusion Task Force",61,,,,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences,,,,,,57110,1299,19.598,1,,187,151,0,98.69,113,54,0,14,13,0,,,,,fd9b5d8967377558d27f3ef6a3b5bb37,0.175,,,,,1.1,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences,2022-02-04 10:27:53
38,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Cancer-Center-Expansion-8.jpg?h=10d202d3&itok=jFkCea1P,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,43084,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.137,"Wed, 03 Nov 2021 15:39:07 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/UC-Davis-Cancer-Center-Expansion-8.jpg?h=10d202d3&itok=jFkCea1P,2022-02-04 10:27:53
39,https://health.universityofcalifornia.edu/news/covid-vaccine-came-out-super-quickly-heres-why-its-safe,text/html; charset=UTF-8,200,OK,Indexable,,The COVID vaccine came out super quickly. Here’s why it’s safe. | University of California Health,97,847,"Viruses have developed hand-in-hand with humankind, sometimes — as we’ve seen with COVID-19 — to deadly effect. Humans have fought back, developing in the process the concept of vaccines, with the first effective, modern vaccine coming on the scene more than 200 years ago.",273,1767,,0,The COVID vaccine came out super quickly. Here’s why it’s safe.,63,Remember when the pandemic started and some people were really into baking bread?,81,What’s really changing your DNA — viruses,41,,,,https://health.universityofcalifornia.edu/news/covid-vaccine-came-out-super-quickly-heres-why-its-safe,,,,,,42164,977,16.427,1,,155,151,0,98.69,70,42,0,15,14,0,,,,,8e602703eb5405385ece97442ef75f4c,0.16,,,,,1.1,https://health.universityofcalifornia.edu/news/covid-vaccine-came-out-super-quickly-heres-why-its-safe,2022-02-04 10:27:53
40,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/uch-map-pins.jpg?h=e8429a26&itok=z5nBJMM4,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,8576,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.143,"Wed, 03 Nov 2021 15:39:07 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/styles/600x400/public/2021-04/uch-map-pins.jpg?h=e8429a26&itok=z5nBJMM4,2022-02-04 10:27:53
41,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences/building-equity-medical-school-curriculum,text/html; charset=UTF-8,200,OK,Indexable,,Building Equity into the Medical School Curriculum (UC PRIME) | University of California Health,95,841,University of California Health medical schools offer opportunities to learn how to address factors that affect health outcomes through its Programs in Medical Education (PRIME).,178,1101,,0,Building Equity into the Medical School Curriculum (UC PRIME),61,Interior Menu,13,UC PRIME Programs,17,,,,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences/building-equity-medical-school-curriculum,,,,,,50088,979,17.06,1,,159,151,0,98.69,109,51,0,19,18,0,,,,,c0937d65462ada03f5d64c73391a671c,0.139,,,,,1.1,https://health.universityofcalifornia.edu/about-us/diversity-equity-and-inclusion-health-sciences/building-equity-medical-school-curriculum,2022-02-04 10:27:53
44,https://health.universityofcalifornia.edu/education/pharmacy,text/html; charset=UTF-8,200,OK,Indexable,,Pharmacy | University of California Health,42,367,"With PharmD, PhD and MS degree options, University of California Schools of Pharmacy offer programs that are strong in multiple pharmaceutical career paths.",156,990,,0,University of California Schools of Pharmacy,44,Leading California — and the Nation,35,Degree Programs Offered Across the UC System for Pharmacy,57,,,,https://health.universityofcalifornia.edu/education/pharmacy,,,,,,52368,877,13.284,1,,315,151,0,98.69,72,42,0,28,24,0,,,,,cf1aed1b2f6b967bdbb57054b6eb2d83,0.207,,,,,1.1,https://health.universityofcalifornia.edu/education/pharmacy,2022-02-04 10:27:53
46,https://health.universityofcalifornia.edu/accessibility,text/html; charset=UTF-8,200,OK,Indexable,,Accessibility | University of California Health,47,386,,0,0,,0,Accessibility,13,UCOP Is Committed to Web Accessibility,38,,0,,,,https://health.universityofcalifornia.edu/accessibility,,,,,,33562,163,6.536,1,,152,151,0,98.69,69,42,0,14,13,0,,,,,11606f9ce876b621d33d275193ac9d23,0.144,,,,,1.1,https://health.universityofcalifornia.edu/accessibility,2022-02-04 10:27:53
47,https://health.universityofcalifornia.edu/careers,text/html; charset=UTF-8,200,OK,Indexable,,Careers | University of California Health,41,347,,0,0,,0,Careers,7,Join Our Team!,14,,0,,,,https://health.universityofcalifornia.edu/careers,,,,,,36583,182,6.498,1,,152,151,0,98.69,69,42,0,11,10,0,,,,,4a243b715bd9c714c57f580b89ebf301,0.144,,,,,1.1,https://health.universityofcalifornia.edu/careers,2022-02-04 10:27:53
50,https://health.universityofcalifornia.edu/patient-care/academic-health-centers,text/html; charset=UTF-8,200,OK,Indexable,,Academic Health Centers | University of California Health,57,501,"At University of California Health, physicians, researchers and clinicians share breakthrough research, data and best practices to improve your medical care.",157,972,,0,University of California Academic Health Centers,48,Leading California — and the Nation,35,How Academic Medicine Improves Care,35,,,,https://health.universityofcalifornia.edu/patient-care/academic-health-centers,,,,,,58446,876,11.384,1,,497,151,0,98.69,77,42,0,39,37,0,,,,,8ff0b845778bc4db7d576ef147704da1,0.226,,,,,1.1,https://health.universityofcalifornia.edu/patient-care/academic-health-centers,2022-02-04 10:27:54
51,https://health.universityofcalifornia.edu/news/uc-braid-grants-support-work-toward-better-health-equity-covid-19-translational-research,text/html; charset=UTF-8,200,OK,Indexable,,UC BRAID grants support work toward better health equity in COVID-19 translational research | University of California Health,125,1101,,0,0,,0,UC BRAID grants support work toward better health equity in COVID-19 translational research,91,Grants in action,16,About University of California Health,37,,,,https://health.universityofcalifornia.edu/news/uc-braid-grants-support-work-toward-better-health-equity-covid-19-translational-research,,,,,,59069,1990,25.317,1,,7,5,0,3.27,71,43,0,32,30,0,,,,,b629e7004eefb21261ba5a07d83995ff,0.175,,,,,1.1,https://health.universityofcalifornia.edu/news/uc-braid-grants-support-work-toward-better-health-equity-covid-19-translational-research,2022-02-04 10:27:54
53,https://health.universityofcalifornia.edu/dashboards,text/html; charset=UTF-8,200,OK,Indexable,,Dashboards | University of California Health,44,385,,0,0,,0,UCH At A Glance,15,,0,,0,,,,https://health.universityofcalifornia.edu/dashboards,,,,,,56709,323,5.898,1,,356,151,0,98.69,116,57,0,14,12,0,,,,,18d2ace31134a865ab1ebf179679c929,0.212,,,,,1.1,https://health.universityofcalifornia.edu/dashboards,2022-02-04 10:27:54
54,https://health.universityofcalifornia.edu/about-us/mission-vision-values,text/html; charset=UTF-8,200,OK,Indexable,,"Mission, Vision & Values | University of California Health",58,494,"The University’s 20 health professional schools, six academic health systems, student health centers, and self‐funded health plans – collectively referred to a University of California Health (UCH) - are connected and coordinated through the health division office within the UC Office of the President (UCOP).",310,1906,,0,"Mission, Vision & Values",24,Interior Menu,13,Our Mission,11,,,,https://health.universityofcalifornia.edu/about-us/mission-vision-values,,,,,,50820,480,10.732,1,,183,151,0,98.69,103,51,0,13,12,0,,,,,be1046e57fdceb9803efba72c2d41416,0.132,,,,,1.1,https://health.universityofcalifornia.edu/about-us/mission-vision-values,2022-02-04 10:27:54
56,https://health.universityofcalifornia.edu/sites/default/files/2021-04/microscope.svg,image/svg+xml,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,,,,,,,,,964,0,0.0,1,,0,0,0,0.0,0,0,0,0,0,0,,,,,,0.173,"Wed, 03 Nov 2021 15:37:30 GMT",,,,1.1,https://health.universityofcalifornia.edu/sites/default/files/2021-04/microscope.svg,2022-02-04 10:27:54
